temp_avg,et0,precip_7d,wind,soil_moisture,days_since,days_since_last_water,crop,irrigation_mm,phase_progress
5.0632221578745575,1.4993620917640444,0.0,4.19612150397294,0.25,0,0,1,0.0,0.11855670967813814
14.774835918055006,3.445340016801622,0.15309787461013052,1.9109893135537814,0.3180248995200882,0,1,1,0.0,0.20084959693918358
14.01007458794703,1.7625762319898368,0.15309787461013052,4.452507483302166,0.2749571452385828,1,2,1,0.0,0.11630865170188087
10.51252696879997,1.807430929519522,0.15309787461013052,4.0876088071924634,0.23488626432430093,2,3,1,0.0,0.117602820261162
13.592300756511143,1.8945329705143803,0.15309787461013052,6.449102922820913,0.19715003347321305,3,4,0,0.0,0.0861520381444036
10.181311784870644,3.949926890134793,0.15309787461013052,3.8934404834758363,0.1418787618940081,4,5,1,1.2264439860870708,0.1772709927085687
11.837435991994072,4.45556331846568,0.15309787461013052,3.2318665238333315,0.08597282775783066,5,6,0,3.5241369279317087,0.2615881273488248
11.370256845580071,3.2339407927570294,0.15309787461013052,1.6280377772817463,0.05,6,0,1,3.5139976467349197,0.13021377589375538
11.072349325627066,2.8912811366639133,0.0,1.3255074474775674,0.05,7,1,0,2.7668875122756833,0.261806340998832
13.392540050221482,3.1158880256053485,0.024574158491797202,4.073940992656639,0.05,8,2,0,6.913905089044716,0.12685603694059422
8.944860691785399,4.998393574287017,1.7792238129953915,3.4280338565152926,0.45,9,3,1,0.0,0.2017966830039039
12.068658155351926,3.6555126893470518,1.7792238129953915,4.887269186590014,0.3774448731065295,10,0,1,1.543716555673781,0.36645685688582363
14.020005915479503,5.3091808639779146,1.7792238129953915,5.983499059805476,0.29415747461822805,0,1,1,0.0,0.3280120101618472
18.84312481894739,2.4809802870402136,1.7792238129953915,1.2800476950166209,0.2458150737783677,0,2,1,0.0,0.2319051369324838
10.077488844151164,1.1900103004775828,1.7792238129953915,4.473519767919708,0.21424976487132247,1,3,1,0.8235777660530763,0.07341706039387687
15.391958599940086,2.273177249632358,1.7792238129953915,7.033803259273857,0.1743780111852931,2,4,1,0.0,0.1704147536531957
15.969818692295167,2.51559539154248,1.7546496545035943,4.186166102982298,0.13527181637504487,3,5,0,0.0,0.37909968474415034
8.697080301160925,5.849204056007485,0.0,4.648695476655421,0.06595803050496643,4,6,1,2.526699149440531,0.14988411049857978
15.805414413072091,4.629226740085466,0.0,4.407542885016732,0.05,5,7,1,6.379128250299547,0.08030940858624419
17.459900162336808,2.650163521985402,0.0,3.7285504293838727,0.05,6,8,1,6.222930935934371,0.17849571116816745
16.828801532059003,4.900231263369612,0.0,1.7708366674636071,0.05,7,9,1,7.741102774021575,0.18623275242463794
15.053360068027548,3.574008944243885,0.0,1.8844935097776865,0.05,8,10,1,7.05934876563257,0.22466149927334925
16.54558825292738,6.3004502525688135,0.0,2.2536246921638536,0.05,9,11,0,8.238508088077262,0.3216488258952512
16.294485185401197,3.427765164184467,0.0,6.5479524862835845,0.05,0,12,1,3.4861399595885207,0.1952939321898985
10.95394782314401,1.6991060604119825,1.0053634992471083,2.9273261039319927,0.45,1,13,0,0.0,0.14762080257206367
16.83786501344815,3.805841413310559,1.0053634992471083,7.636866472427875,0.3759415858668944,2,14,1,0.0,0.2095034775848552
15.390422670311448,3.6641464646362123,1.026691728769601,6.671191165756403,0.3262873779691748,3,15,0,1.5135006976794587,0.22197973883769292
14.608973613112209,2.2263067367795752,1.026691728769601,5.791784677390768,0.27792132036384504,4,16,1,0.0,0.18631994563534304
24.408163924302727,5.196618990431714,1.026691728769601,6.042755405770181,0.2037214248304203,5,17,1,4.962694934786028,0.334339599149979
20.938854760595497,6.530747446054514,1.026691728769601,1.3334254607484581,0.12211623638344153,6,18,1,9.55151740572517,0.1354137889370019
13.956117071456495,2.7851512652155863,1.026691728769601,4.9787255689058165,0.08449542482061034,0,0,0,0.9795116632591839,0.1592430421787471
18.669972747479086,6.002420308643783,0.021328229522492605,7.587398369452108,0.05,1,1,0,1.932633780735922,0.30732955971077486
22.225309937176227,3.7071317958445444,0.021328229522492605,1.2737712837475625,0.05,2,2,1,1.2446814230941223,0.2860284329964752
13.581480110846487,4.652948022756589,0.0,3.037115629594781,0.05,3,0,1,1.422525435633014,0.19248721234452587
18.517479121735757,4.56751822924041,0.0,1.3605804449375474,0.05,4,1,0,0.08789988783537117,0.23091468577715107
18.872744521525245,4.796442483852202,0.0,4.988191045063159,0.05,5,2,0,3.8129850098616576,0.21733293152789193
14.888525454309946,5.6136253752615906,0.0,1.8134043901937034,0.05,6,3,0,4.525034119134956,0.10083385766175956
20.05955121824814,3.4373594741322155,0.0,4.354751093570794,0.05,0,4,1,0.315434525527987,0.23694283341244604
22.475892223281267,6.9823345142349735,0.0,6.0396460575128135,0.05,1,0,1,1.8293160627956526,0.039645908920588196
23.85484400087047,5.865547877279482,0.0,2.151069744548273,0.05,2,1,1,2.445924464826181,0.31154692039828097
18.783392208474826,6.430535668960479,1.1323368319515736,6.287551059547896,0.45,3,2,1,0.0,0.31303527349671606
27.234378520930058,4.073048875787234,1.1323368319515736,1.421431233649291,0.3732695112421277,4,3,0,1.9356969401721436,0.3303732893358027
13.75061901344391,3.636012299655521,1.1323368319515736,2.047371361798977,0.3070478273462023,5,4,1,0.8767233349349092,0.18844148300974572
21.18530441193757,7.1462882419763325,5.400793187870439,2.9607725422755644,0.45,6,0,0,1.0755342700479342,0.3223748982637282
16.06890854856544,3.698639967322636,5.400793187870439,6.572693471884611,0.37701360032677367,0,1,0,0.0,0.01876668334642323
20.762422818265403,5.721249497096397,5.400793187870439,6.950958223863807,0.2896400173296678,1,2,0,0.6134828787133713,0.2834808410917649
19.109129083911533,7.086776858940784,5.400793187870439,2.54265870056366,0.19560104735388656,2,3,0,0.0,0.22242977214272572
22.37529294361037,5.4280172378222735,4.2684563559188655,1.670486778678473,0.1256727911873529,3,4,0,0.7995102483003674,0.3956478851339649
20.650613202153195,7.432200709364375,4.2684563559188655,6.9356764764307615,0.05,4,5,0,1.627610873842826,0.2942020262435279
18.72662878136878,5.327522982792025,4.2684563559188655,5.545572062654749,0.05,5,6,0,0.7532866841604695,0.301826366867955
19.093714284486495,3.875402044221264,0.0,2.10498805479077,0.05,6,7,0,5.450348853109856,0.24733935016464673
27.338600895607726,6.408332946082915,0.0,4.904017496055268,0.05,7,8,1,7.567784966202419,0.19954501828354299
23.035008981448875,6.1989233059255575,0.0,7.106600030198745,0.05,8,9,0,11.089187913390855,0.15026459996071195
16.757798731736493,9.0,0.0,1.486604594362341,0.05,0,10,0,4.972473098175893,0.0787644400427004
23.67277952797044,4.589142141703853,0.0,1.5860486355379615,0.05,1,11,0,5.914186446283099,0.1164611472386719
21.589055898036428,5.679924637042779,0.07987164630245455,2.9152543246379765,0.053098070671535866,2,12,1,6.81781634677359,0.07785767873282555
22.33595156082763,5.01108433623649,0.07987164630245455,5.565836279190596,0.05,3,13,1,6.232929714340574,0.14277588236429786
24.92722385743251,5.942126259471345,0.07987164630245455,2.24605956629419,0.05,4,0,1,2.7806575277237418,0.2860783701401686
26.15895760565571,5.92888837956284,0.07987164630245455,6.71457043022015,0.05,5,1,1,2.154522544058376,0.5151096176522529
20.170818189150847,4.940635724546876,0.07987164630245455,6.253011237564721,0.05,6,0,0,2.720031008785159,0.25460958664834876
22.792234411670893,6.996176205924347,1.2643689054576661,4.927033975395863,0.45,7,1,0,0.7953041493050571,0.3133774583858931
21.373512312728245,6.016065965513788,1.2643689054576661,1.8124739305924025,0.35383934034486214,0,2,0,0.0,0.20151680377339298
24.92896212038643,8.397682977547094,1.1844972591552116,7.917538798185385,0.24155536334180222,1,3,1,0.45098439088613,0.38261974748829297
